scene,split,negative_pct,gt50_pct,flags
DC_07_19,train,0.0,0.0,NONE
DC_10_21,train,0.0,0.0,NONE
DC_10_33,train,0.0,0.0,NONE
DC_15_16,train,0.0,0.0,NONE
DC_17_13,train,0.0,0.0,NONE
DC_17_31,train,0.0,0.0,NONE
DC_18_42,train,0.0,0.0,NONE
DC_19_22,train,0.0,0.0,NONE
DC_20_42,train,0.0,0.0,NONE
DC_21_30,train,0.0,0.0,NONE
DC_21_37,train,0.0,0.0,NONE
DC_21_39,train,0.0,0.0,NONE
DC_24_43,train,0.0,0.0,NONE
DC_25_26,train,0.0,0.0,NONE
DC_25_44,train,0.0,0.0,NONE
DC_28_05,train,0.0,0.0,NONE
DC_28_49,train,0.0,0.0,NONE
DC_29_19,train,0.0,0.0,NONE
DC_30_28,train,0.0,0.0,NONE
DC_30_44,train,0.0,0.0,NONE
DC_31_13,train,0.0,0.0,NONE
DC_33_12,train,0.0,0.0,NONE
DC_35_19,train,0.0,0.0,NONE
DC_36_13,train,0.0,0.0,NONE
DC_36_40,train,0.0,0.0,NONE
DC_36_46,train,0.0,0.0,NONE
DC_37_35,train,0.0,0.0,NONE
DC_37_37,train,0.0,0.0,NONE
DC_37_50,train,0.0,0.0,NONE
DC_38_61,train,0.0,0.0,NONE
DC_40_31,train,0.0,0.0,NONE
DC_41_39,train,0.0,0.0,NONE
DC_42_23,train,0.0,0.0,NONE
DC_42_57,train,0.0,0.0,NONE
DC_44_53,train,0.0,0.0,NONE
DC_45_53,train,0.0,0.0,NONE
DC_45_66,train,0.0,0.0,NONE
DC_47_57,train,0.0,0.0,NONE
DC_50_43,train,0.0,0.0,NONE
DC_56_43,train,0.0,0.0,NONE
DC_58_35,train,0.0,0.0,NONE
DC_59_49,train,0.0,0.0,NONE
DC_60_43,train,0.0,0.0,NONE
DC_60_47,train,0.0,0.0,NONE
DC_62_42,train,0.0,0.0,NONE
DC_70_35,train,0.0,0.0,NONE
PHL_1672,train,0.0,0.0,NONE
PHL_1745,train,0.0,0.0,NONE
PHL_1958,train,0.0,0.0,NONE
PHL_2038,train,0.0,0.0,NONE
PHL_2259,train,0.0,0.0,NONE
PHL_2355,train,0.0,0.0,NONE
PHL_2410,train,0.0,0.0,NONE
PHL_2635,train,0.0,0.0,NONE
PHL_2698,train,0.0,0.0,NONE
PHL_2812,train,0.0,0.0,NONE
PHL_2838,train,0.0,0.0,NONE
PHL_3089,train,0.0,0.0,NONE
PHL_3331,train,0.0,0.0,NONE
PHL_3344,train,0.0,0.0,NONE
PHL_5578,train,0.0,0.0,NONE
PHL_5993,train,0.0,0.0,NONE
